,agencyAcronym,allowLateComment,attachmentCount,commentDueDate,commentStartDate,commentText,docketId,docketTitle,docketType,documentId,documentStatus,documentType,frNumber,numberOfCommentsReceived,openForComment,postedDate,rin,title,startDate,daysSince,Days
10,CMS,False,0,,,Europe has lost all common sense in all that they do. Don't let America fall into socialism and give up all that we have done to be great again. Obama and the Left have destroyed us as never before. Enough is enough. Evil and stupidity is their constitution .,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2186,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,ME,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
11,CMS,False,0,,,Imposing price controls on the drug companies will lead us down the road to a Socialist like nation and kill research and development.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1897,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,MI,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
12,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0213,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,SC,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
13,CMS,False,1,,,"Spectrum Health Lakeland respectfully submits these comments in response to the Centers for Medicare and Medicaid Services (CMS) Advanced Notice of Proposed Rule Making published in the Federal Register on October 30, 2018, regarding the International Pricing Index (IPI) Model for Medicare Part B drugs.  Spectrum Health Lakeland serves the Southwest Lower Michigan area as a Disproportionate Share Hospital under the 340B Program.  Spectrum Health Lakeland serves many low-income patients in the Southwest Lower Michigan area as evidenced by our CMS Disproportionate Share Percentage of 20.17%.  The 340B program is intended to provide resources to hospitals serving high volumes of low-income patients to enable those hospitals to provide more comprehensive services and treat more patients.

Spectrum Health Lakeland supports CMS for its efforts to reduce drug prices.  We are concerned, however, that the IPI Model would unintentionally eliminate the 340B program, which would negatively impact the ability of safety-net providers to treat low-income and vulnerable patients.  We also have several operational and patient care concerns relating to the IPI Model.  We ask that CMS consider measures to preserve the 340B program and address the patient care and operational issues in the attached file.
",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1082,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,MI,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
14,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0290,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,PA,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
15,CMS,False,0,,,"I fled the socialist gulag of Mexifornia in 2013 because I did not and could not comply with the onerous rules, laws and other chicanery  imposed on the proleriat  (stupid non elite working people.  I for one refuse to become one of Bitch piglousy's deploribles.  I won't put with this PC bull.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2257,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,SC,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
16,CMS,False,0,,,Stop Big Government Bureaucrats from Imposing Socialist Price Controls!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0112,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,NE,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
17,CMS,False,0,,,We reject socialist price controls. Return US healthcare back to the open market and get government out of trying to reform it.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2729,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,NC,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
18,CMS,False,0,,,We don't need price controls let free market decidePlease write your comment here.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0962,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,TN,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
19,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0261,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,TX,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
20,CMS,False,0,,,We do not need you to impose socialist price controls.  We seniors need our medications.  We do not need any socialist conditions.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0926,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,NC,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
21,CMS,False,0,,,"I'd like less government intrusion in my life, not more. Who can decide what's best for me?  My doctor and me, that's who.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0904,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,IL,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
22,CMS,False,0,,,"The United States of America must reject socialist. Socialism is closely linked to Communism and Marxist.
Socialism is not compatible with our democratic republic. Capitalism has provided most of us with the
American Dream and we are better off compared to most countries in our world. European socialism is a failed system that takes from the ""haves"" and gives to
the ""have nots"". The ""have nots"" will never work to get
to where the ""haves"" are because Socialism destroys the incentive to work hard to get ahead. KEEP SOCIALISM OUT OF THE U.S.!",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2554,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,TX,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
23,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0201,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,KY,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
24,CMS,False,1,,,See attached file(s),CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0510,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,RI,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
25,CMS,False,1,,,Please see attached.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1083,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,VA,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
26,CMS,False,0,,,"Please write your comment here.

It is beyond belief that YOU would even consider imposing Socialist Price Controls on anyone's pharmaceutical needs, essentially limiting their use and supply.  Just say NO!  Everyone in America has the right to proper medical care as prescribed by their doctors.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1844,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,WI,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
27,CMS,False,0,,,We don't need any form of socialism in medicine as cost are high enough now and more illegal people would get treatment or medication at others expense.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2154,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,SC,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
28,CMS,False,0,,,"The United States is not Globally controlled yet. I will not answer to UN Policies or Politics! The people that have to pay for socialistic policies are not the rich, not rich corporations, IT IS THE LITTLE PEOPLE IN THE MIDDLE OF AMERICA that has to pay, Congressmen and Senators are exempted from paying anything out of their 25% pay raise each year this SOCIALIST crap needs to stop, until the people most able to afford to pay start paying their fair share of the burden.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2203,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,NC,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
29,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0180,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,TX,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
30,CMS,False,0,,,Please reject socialist price controls!,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0084,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,ME,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
31,CMS,False,1,,,Please see attached from EMD Serono.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2624,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,DC,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
32,CMS,False,0,,,STOP!! Trying to destroy America with your Socialist Programs!. Keep your hands off our Healthcare.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2345,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,NY,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
33,CMS,False,0,,,Keep America working like the well-oiled machine it already is.  Everyone wants to come to America for a reason.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1841,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,VA,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
34,CMS,False,0,,,"Please do not impose big government price controls on American companies.  This will destroy countless good-paying American jobs.  These socialist price controls on prescription drugs are like the ones that France and Sweden have. This will stop the development of potentially life-saving medicines and will limit patients' access to medications by decreasing the supplies.
Please reject all of these socialist price controls NOW!",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0061,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,PA,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
35,CMS,False,0,,,Stop trying to impose European-style socialist drug price controls on American companies.  There are so many of us that depend on the drugs we are given and we can't afford to have the prices any higher.  So STOP trying to impose these on us.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2132,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,AZ,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
36,CMS,False,0,,,Please write yoStop Big Government Bureaucrats from Imposing Socialist Price Controls! ur comment here.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0628,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,OH,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
37,CMS,False,0,,,Please write your comment here.no price controls...let market set prices..free market concept...crazy huh?,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2162,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,MO,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
38,CMS,False,0,,,would you communist get your hands out of my pockets  grow up get a job an start paying for your stuff i am a proud conservative  71 years old and have never taken a hand out Please write your comment here.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1756,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,WI,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
39,CMS,False,0,,,"If you're not happy with American values feel free to leave our country.  Other wise leave it alone.
I don't know how you communist or socialist  keep getting elected!
Judgement day will come upon you as it will all of us but be you warned you are doing the devils work for him. God almighty isn't going to take it lightly! 
Repent now and except Jesus as your lord and saviour because when your time comes it's your choice where you spend eternity! May God bless you and show you MERCY.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2553,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,CA,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
40,CMS,False,0,,,"We are not interested in socialism in any form here in the USA. We all have seen how it has failed everywhere in the world ie South America, Central America, and Europe. We expect the law makers to be more responsible.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2569,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,MN,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
41,CMS,False,0,,,Please write your comment here.Stop price controls,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0622,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,IL,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
42,CMS,False,0,,,Let competition decide the price--Obamacare was supposed to be perfect solution--and it's a mess--it was a mess before Jan 2017.   Socialism does not work--partially or completely applied. There is a perfect example of that in South America--their having riots in the streets for food and medicine,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1772,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,TX,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
43,CMS,False,0,,,"The pilot program proposed by The Department of Health and Human Services that would set prices for certain prescription drugs in Medicare Part B based on what foreign countries pay for these drugs will harm patient choice and hurt innovation. These countries use socialized health systems, where prescription drugs are rationed or not even provided. Although our healthcare system has many issues and market-based reforms are needed, this is a step in the wrong direction.
 
Not only would this demonstration limit what prescription drugs seniors may have access to, it would disproportionately affect patients with debilitating chronic conditions like Crohn's disease, multiple sclerosis, cancer and lupus, by instituting new barriers into the program. 
 
This proposal would also hurt the development of future cures. The United States leads the world in developing new drugs, thanks to our innovative economy and research environment. This proposal fundamentally undermines this system, reducing the ability for companies to research and develop the next generation of medicine. This is an unacceptable side effect, bordering on negligence in trading our future health for a policy which will harm seniors now.
 
These policies don't work abroad and playing with them on needed medicines here will be detrimental to American seniors and our country as a whole.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0259,Posted,Public Submission,,1,False,2019-01-02 05:00:00,Not Assigned,GA,2018-10-30 04:00:00,64 days 01:00:00.000000000,64
44,CMS,False,0,,,"America's great health care will be severely damaged by price controls.  Please do not follow in Europe's footsteps.  New drugs and procedures come mainly from our free enterprise system, not Europe's.",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2288,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,ID,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
45,CMS,False,0,,,Socialism in any form has never worked.  The price of products and services have always worked best in a free market.  Please reject Socialist health price controls.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0948,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,MO,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
46,CMS,False,1,,,"APhA is pleased to submit comments to CMSs advance notice of proposed rulemaking (ANPRM) to solicit public comments on potential options for testing changes to payment for certain separately payable Part B drugs and biologicals. APhA, founded in 1852 as the American Pharmaceutical Association, represents 62,000 pharmacists, pharmaceutical scientists, student pharmacists, pharmacy technicians, and others interested in improving medication use and advancing patient care. APhA members provide care in all practice settings, including community pharmacies, hospitals, long-term care facilities, community health centers, physician offices, ambulatory clinics, managed care organizations, hospice settings, and the uniformed services. 

APhA strongly supports patient access to affordable and cost-effective medications and appreciates HHSs continued efforts to look at ways to improve efficiencies and reduce patients rising prescription drug costs by reforming current Medicare reimbursement models. As CMS notes in the ANPRM, many Part B medications are expensive, making it difficult for providers, including pharmacies, particularly those which are small, to float the inventory expense of these products for an extended period. In addition, it is administratively burdensome for pharmacists and pharmacies to obtain reimbursement for the Part B drugs they are able to provide, and reimbursements often fail to cover the actual cost of the product. As a result, patient access to many of these needed Part B medications is hindered because pharmacies cannot provide many of these products due to inadequate reimbursement and often undergo a complicated and time-consuming audit process requiring dozens of pages of documentation. APhA appreciates CMS testing any new model before implementing this policy more broadly but has some concerns with the proposed IPI model and offers the following comments. (See, attached .PDF for full comments). 

We appreciate CMSs continued work to spend health care dollars more cost-effectively for the benefit of the Medicare Program and its beneficiaries. As CMS moves forward, we hope you will use APhA as a resource. Thank you again for the opportunity to provide information on this important issue. If you have any questions or require additional information, please contact Michael Baxter, Director of Regulatory Affairs, at mbaxter@aphanet.org or by phone at (202) 429-7538.
",CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0995,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,DC,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
47,CMS,False,0,,,We don't want socialism in the U.S.A.  This country worked very well before socialism was ever introduced.  We don't need it or want it. Everyone needs to buck up and earn their own way.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-2231,Posted,Public Submission,,1,False,2019-01-08 05:00:00,Not Assigned,CO,2018-10-30 04:00:00,70 days 01:00:00.000000000,70
48,CMS,False,0,,,Please reject the evil of socialism.  And reject european style socialist price controls.  May God save our Republic.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-1239,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,PA,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
49,CMS,False,0,,,Please stop European price controls coming to the USA . We need free market pricing to advance health research. Counting on you.,CMS-2018-0132,Indexed Price Concession Model CMS-5528-ANPRM,Rulemaking,CMS-2018-0132-0693,Posted,Public Submission,,1,False,2019-01-07 05:00:00,Not Assigned,MI,2018-10-30 04:00:00,69 days 01:00:00.000000000,69
